[    1101ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=wp-hooks,jquery-core,jquery-migrate,utils,wp-polyfill,moxiejs,plupload&ver=6.9.4:6
[ 1298391ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=wp-hooks,jquery-core,jquery-migrate,utils,wp-polyfill,moxiejs,plupload&ver=6.9.4:6
[ 1302944ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=wp-hooks,jquery-core,jquery-migrate,utils,wp-polyfill,moxiejs,plupload&ver=6.9.4:6
[ 1446876ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=wp-hooks,jquery-core,jquery-migrate,utils,wp-polyfill,moxiejs,plupload&ver=6.9.4:6
[ 1470617ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1486750ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1500539ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1644239ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1679934ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2252895ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2591069ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2733471ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2838875ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2954562ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost/sklentr/snazzy-floret/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2954873ms] [WARNING] Swiper Loop Warning: The number of slides is not enough for loop mode, it will be disabled or not function properly. You need to add more slides (or make duplicates) or lower the values of slidesPerView and slidesPerGroup parameters @ https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js?ver=11:12
