Product Name,Price (BDT),Image Name,Image Path
Elegant Organza Saree,2800,elegant-saree.png sf-30.jpeg sf-65.jpeg sf-67.jpg,E:\wampserver\www\sklentr\snazzy-floret\wp-content\themes\snazzy-floret-theme\assets\images\product image
Daisy Floral Kurti,1800,daisy-kurti.png 75.jpg 76.jpg 77.jpg,E:\wampserver\www\sklentr\snazzy-floret\wp-content\themes\snazzy-floret-theme\assets\images\product image
Royal Embroidered Kurti,2100,embroidered-kurti.png sf-96.jpg sf-98.jpg sf-94.jpg,E:\wampserver\www\sklentr\snazzy-floret\wp-content\themes\snazzy-floret-theme\assets\images\product image
Teal Handmade Angarkha,2800,teal-angarkha.png sf-6.jpg sf-7.jpg sf-8.jpg,E:\wampserver\www\sklentr\snazzy-floret\wp-content\themes\snazzy-floret-theme\assets\images\product image
Floral Garden Salwar Set,2700,floral-salwar.png sf-5.jpg sf-42.jpeg sf-92.jpg,E:\wampserver\www\sklentr\snazzy-floret\wp-content\themes\snazzy-floret-theme\assets\images\product image
Casual Cotton Kurti,1200,casual-kurti.png sf-2.jpg sf-4.jpg sf-13.jpg,E:\wampserver\www\sklentr\snazzy-floret\wp-content\themes\snazzy-floret-theme\assets\images\product image
Handmade Artisan Dress,3800,handmade-dress.png sf-85.jpg sf-18.jpg sf-63.jpeg,E:\wampserver\www\sklentr\snazzy-floret\wp-content\themes\snazzy-floret-theme\assets\images\product image
Digital Print Designer Saree,1900,digital-print-saree.png sf-68.jpg sf-69.jpg sf-30.jpeg,E:\wampserver\www\sklentr\snazzy-floret\wp-content\themes\snazzy-floret-theme\assets\images\product image
Glamour Party Collection,3800,party-dress.png sf-1.jpg sf-14.jpg sf-92.jpg,
Chic Office Wear Kurti,1500,office-kurti.png sf-79.jpg sf-80.jpg sf-89.jpg,
Family Matching Teal Set,4800,family-matching-set.png sf-10.jpg sf-99.jpg sf-91.jpg,
Eid Family Collection,6500,eid-family-collection.png sf-91.jpg sf-99.jpg sf-88.jpg,
Embroidered Party Luxe,3500,embroidered-party-wear.jpg sf-84.jpg sf-98.jpg sf-96.jpg,
Terracotta Bloom Kurti,900,elegant-saree.png sf-9.jpg sf-51.jpeg sf-17.jpg,
Ivory Grace Salwar Set,1000,daisy-kurti.png sf-15.jpg sf-58.jpeg sf-66.jpeg,
Midnight Aura Kameez,1100,embroidered-kurti.png sf-22.jpg sf-64.jpeg sf-94.jpg,
Jasmine Veil Tunic,1200,teal-angarkha.png sf-3.jpg sf-33.jpeg sf-60.jpeg,
Sapphire Muslin Saree,1300,floral-salwar.png sf-12.jpg sf-53.jpeg sf-21.jpg,
Rose Quartz Angarkha,1400,casual-kurti.png sf-17.jpg sf-61.jpeg sf-24.jpg,
Mulberry Dusk Ensemble,1500,handmade-dress.png sf-85.jpg sf-98.jpg sf-97.jpg,
Pearl Whisper Kurti,1600,digital-print-saree.png sf-67.jpg sf-68.jpg sf-69.jpg,
Velvet Heritage Kameez,1700,party-dress.png sf-92.jpg sf-94.jpg sf-97.jpg,
Golden Hour Salwar Suit,1800,office-kurti.png sf-79.jpg sf-80.jpg sf-95.jpg,
Crimson Petal Anarkali,1900,family-matching-set.png sf-1.jpg sf-10.jpg sf-99.jpg,
Silk Breeze Kurti,2000,eid-family-collection.png sf-88.jpg sf-90.jpg sf-91.jpg,
Moonlight Classic Kameez,2100,embroidered-party-wear.jpg sf-84.jpg sf-98.jpg sf-96.jpg,
Emerald Poise Salwar,2200,73.jpg sf-70.jpg sf-71.jpg sf-72.jpg,
Coral Canvas Tunic,2300,elegant-saree.png sf-30.jpeg sf-65.jpeg sf-68.jpg,
Handwoven Jamdani Kurti,2800,13.jpg 21-1.jpg 22-1.jpg 24-1.jpg,
Block-Printed Cotton Angarkha,2600,17.jpg 14-1.jpg 15.jpg 18.jpg,
Embroidered Silk Panjabi,3900,22.jpg 10.jpg 12.jpg 13-1.jpg,
Hand-Stitched Linen Kameez,2900,78.jpg 7-1.jpg 8.jpg 9.jpg,
Mirror-Work Festive Kurti,3100,85.jpg 4.jpg 5.jpg 6.jpg,
Tussar Silk Saree — Handwoven,4400,digital-print-saree-1.png 1-1.jpg 2.jpg 3.jpg,
